ProfID,soiltype,X,Y
P0762,Fluvisol,21.68154563,41.63584021
P0763,Fluvisol,21.66415767,41.63857128
P0764,Fluvisol,21.72918431,41.66775657
P0766,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.70790094,41.63559088
P0769,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.68137363,41.61950719
P0770,Complex of Cambisol and Regosol,21.6105549,41.62244439
P0771,Complex of Chromic Luvisol on saprolite and Regosol,21.65993129,41.61491395
P0772,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.63865285,41.60351741
P0773,Complex of Chromic Luvisol on saprolite and Regosol,21.67884919,41.59847869
P0774,Cambisol,21.6323509,41.58839769
P0775,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.71294203,41.59854246
P0776,Complex of Chromic Luvisol on saprolite and Vertisol,21.73020534,41.65077684
P0777,Complex of Humic Calcaric Regosol and Regosol,21.7481568,41.5918805
P0779,Fluvisol,21.69438188,41.58151152
P0780,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.65193168,41.57713174
P0782,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.59677268,41.53061653
P0783,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.67468102,41.52301819
P0784,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol",21.73348735,41.52401785
P0786,Complex of Humic Calcaric Regosol and Regosol,21.68731738,41.55315369
P0787,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.78299022,41.50455671
P0788,"Complex of Cambisol, Mollic and Umbric Leptosol and Regosol",21.78995719,41.52192394
P0789,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol",21.78691072,41.55923263
P0790,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol",21.78735203,41.57583391
P0791,Complex of Humic Calcaric Regosol and Leptosol,21.81290831,41.59035135
P0793,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",21.75412341,41.61706298
P0795,"Complex of Chromic Luvisol on saprolite, Humic Calcaric Regosol and Regosol",21.75371096,41.64346662
P0798,Complex of Humic Calcaric Regosol and Regosol,21.8022583,41.63787047
P0800,Complex of Rendzic Leptosol and Leptosol,21.7780787,41.67832221
P0802,Rendzic Leptosols,21.76834392,41.70505847
P0804,Regosol,21.75085691,41.71088279
P0806,Complex of Humic Calcaric Regosol and Regosol,21.81336394,41.73250878
P0807,Complex of Humic Calcaric Regosol and Regosol,21.78150596,41.74216632
P0824,Rendzic Leptosols,21.24345045,41.88910157
P0837,Rendzic Leptosols,21.12692004,41.97145125
P0839,Complex of Vertisol and Humic Calcaric Regosol,21.22741789,41.99266252
P0840,Rendzic Leptosols,21.10008856,41.98847724
P0848,Fluvisol,21.39089499,42.06852993
P0849,Fluvisol,21.38102468,42.06285471
P0850,Fluvisol,21.37133764,42.06137382
P0851,Fluvisol,21.36192985,42.06005331
P0852,Fluvisol,21.35519689,42.05516726
P0854,Fluvisol,21.37388366,42.0546127
P0855,Fluvisol,21.38784715,42.05220736
P0857,Populated Site,21.35112679,42.04225029
P0863,Populated Site,21.37131261,42.02803271
P0864,Fluvisol,21.39165742,42.03921991
P0867,Fluvisol,21.38336054,42.03536726
P0868,Fluvisol,21.39258932,42.03363434
P0875,Populated Site,21.40896761,42.01877481
P0876,Fluvisol,21.38031521,42.01683844
P0879,Populated Site,21.40257342,42.00430117
P0881,Populated Site,21.39377804,42.00315216
P0888,Fluvisol,21.37485479,42.04923425
P0889,Fluvisol,21.38690364,42.06594136
P0890,Fluvisol,21.38245893,42.04815572
P0900,Populated Site,21.43830427,42.02514932
P0901,Populated Site,21.44158645,42.02828809
P0924,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",21.53311666,42.01425863
P0926,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol",21.52817263,42.00770867
P0931,Mollic Fluvisol,21.54638313,42.00691213
P0944,Mollic Fluvisol,21.5450031,41.98383272
P0946,Mollic Fluvisol,21.55361433,41.98322427
P0947,Mollic Fluvisol,21.56289619,41.98752802
P0948,Mollic Fluvisol,21.55364046,41.97648922
P0955,Mollic Fluvisol,21.56614881,41.97460042
P0957,Mollic Fluvisol,21.55497271,41.97427683
P0968,Fluvisol,21.50049954,41.97496843
P0975,Fluvisol,21.53672753,41.97269785
P0978,Fluvisol,21.51833397,41.9675871
P0980,Fluvisol,21.5184679,41.96327361
P0987,Fluvisol,21.52573996,41.96002613
P0988,Fluvisol,21.53230956,41.95942861
P0992,Fluvisol,21.51751285,41.94513495
